wkt_geom,data_Bridge Name,data_Private Bridge?,data_Bridge Number According to Zucchetta,data_Name of Northern Sestiere,data_Name of Southern Sestiere,data_Minimum Step Width (m),data_Northern Island Number,data_Southern Island Number,Same Island?,birth_certificate_birthID,birth_certificate_ckID,birth_certificate_dob,birth_certificate_dor,birth_certificate_lat,birth_certificate_lon,birth_certificate_parentID,birth_certificate_recorder,birth_certificate_type,data_Additional Handrail?,data_Address,data_Address Letter,data_Arch Style,data_Arch Style Code,data_Average Height (m),data_Average Height of Railing (m),data_Average railing width (cm),data_Bridge Code,data_Canal Crossed,data_Canal Width (m),data_Central Thickness (m),data_Code for Material of Step Face,data_Code for railing type,data_Code for the material of the rail,data_Conditions of the Step Face,data_Construction Material,data_Construction Material Code,data_Crooked Bridge?,data_Date of Last Restoration,data_Date of Survey,data_Decorations,data_Description of Step Face Conditions,data_Estimated Surface Area,data_Face Material,data_Full Width Including Railings (m),data_H-C,data_H-N2,data_H-S2,data_Handicapped Accessible?,data_Height 1m North (m),data_Height 1m South (m),data_Height Center (m),data_Height of Step (cm),data_History,data_Hypotenuse North (deg),data_Hypotenuse South (deg),data_ID,data_Inclination North (deg),data_Inclination South (deg),data_Latitude,data_Length of Summit (m),data_Longitude,data_Material Code of Summit Pavement,data_Material of Summit Pavement,data_Maximum Inclination (deg),data_Minimum Height (m),data_Minimum Thickness (m),data_N Cathetus (deg),data_Net Width of Bridge (m),data_Northern Sestiere Code,data_Notes,data_Number of Arches,data_Number of Northern Steps,data_Number of Ramps,data_Number of Southern Steps,data_Number of Street Address On Bridge,data_Numerical Condition of Bridge,data_Numerical Condition of Decorations,data_Numerical Condition of Step Pavement Material,data_Numerical Condition of Summit Pavement,data_Photo Number of Arch,data_Photo Number of Ramp,data_Photo Number of Reference Elevation Point,Private?,data_Protrusion North (m),data_Protrusion South (m),data_Qualitative Condition of Bridge,data_Qualitative Condition of Decorations,data_Qualitative Condition of Step Pavement Material,data_Qualitative Condition of Summit Pavement,data_Qualitative condition of Railing,data_Railing Material,data_Railing condition,data_Ratio of Span to Height,data_Reference to CAD Drawings,data_S Cathetus (deg),data_SE-C,data_SE-N1,data_SE-N2,data_SE-S1,data_SE-S2,data_SI-C,data_SI-N1,data_SI-N2,data_SI-S1,data_SI-S2,data_Segment Code,data_Southern Sestiere Code,data_Span (m),data_Step Depth (cm),data_Step Pavement Material,data_Step Surface (Min),data_Street Addresses on Bridge,data_Surface Area From Map,data_Surface Area of Summit (m^2),data_Survey Incomplete?,data_Thickness 1m North Of Center (m),data_Thickness 1m South of Center (m),data_Thickness 2m North Of Center (m),data_Thickness 2m South of Center (m),data_Tide Level (m),data_Time of Survey (24:00),data_Total Number of Steps,data_Total Surface Area of Pavement (m^2),data_Total Surface Area of Steps (m^2),data_Tread Material,data_Type of Railing,data_Water level (cm),data_Width of Eastern Railing (cm),data_Width of Summit (m),data_Width of Western Railing (cm),data_Year Constructed,data_Year of Last Restoration
Point (12.32689889999999977 45.44771300000000025),Ponte sulla Cavana (S.Bonaventura),FALSE,257,Cannaregio,Cannaregio,5.75,1,1,1,CAVBON,04297b06-4425-7a69-e8b9-3ea214240e83,,"Mon, 16 Dec 2013 19:38:39 GMT",45.447713,12.3268989,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,A tutto Sesto,1,1.66,0.94,14,CAVBON,Rio de S. Alvise,8.28,0.32,2,1,14,2,Mattoni e Pietra d'Istria,14,FALSE,,07-Jan-99,,Medie,82.8,Pietra d'Istria,6.3,3.21,3.21,3.2,FALSE,1.64,1.36,1.97,14,,3.28,2.5,246,FALSE,FALSE,45.447713,8.47,12.3268989,3,Trachite,FALSE,1.36,0.32,0,6.02,CN,Spalletta intonacata.,1,5,2,7,1,2,0,2,2,B28,B27,B30,0,0,0,Medie,,Medie,Medie,Medie,Mattoni e Pietra d'Istria,2,6.09,,0,1.23,1.56,0,1.83,0,0.91,0.9,0.91,0.92,1.04,ALVI,CN,8.28,46,Asfalto,2.65,3146,82.7,51.16,FALSE,0.66,0.91,0,0,-0.01,17:18,12,82.9,31.74,8,Piena,-1,0,6.04,28,0,0
Point (12.32684010000000008 45.44761760000000095),Ponte de San Bonaventura,FALSE,256,Cannaregio,Cannaregio,3.69,1,3,0,BONAVE,f245215a-f4ae-8ec7-eaf1-7fd772602795,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4476176,12.3268401,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.79,0.84,27,BONAVE,Rio de S. Alvise,12.02,0.61,2,1,14,2,Mattoni e Pietra d'Istria,14,FALSE,,07-Jan-99,tre scudi a est un mascherone a ovest,Medie,65.46,Pietra d'Istria,4.58,4.19,4.19,4.175,FALSE,2.83,2.705,2.82,14,". The PP. Reformed Franciscans who lived in S. Francesco del Deserto, abandoned island pell'insalubrit� Dell'Aere, first passed in the abbey of St. Cyprian of Murano, and afterwards to St. Nicol� in the room which was later occupied by ""Terese,"" and finally in 1620 they founded a new convent on this site and new church, consecrated three years later under the title of S. Bonaventure. In 1810 ambidue buildings were reduced to profane uses. In 1859, however, were bought by the Countess Paolina Giustiniani Recanati, widow Malipiero, who in 1875 v'introdusse some of the Discalced Carmelites. Havva memory on Easter day of the year 1641 Alvise Paruta kidnapped Lucia Gerardi, who, together with his father, he left the church of S. Bonaventure. The kidnapper then, with decision of 3 April of that year was banned, but in 1646 he obtained full pardon.",5.62,12,245,FALSE,FALSE,45.4476176,3.66,12.3268401,8,Asfalto,FALSE,2.705,0.54,0,4.04,CN,Spalletta intonacata.,1,5,2,15,0,2,1,2,1,B25,B26,B29,0,0.35,0.7,Medie,Cattive,Medie,Cattive,Cattive,Mattoni e Pietra d'Istria,1,4.06,,0,1.39,1.38,1.5,1.49,1.63,0.78,0.8,0.96,0.81,0.87,ALVI,CN,10.97,51,Asfalto,1.88,,78.5,14.79,FALSE,0.58,0.68,0.54,0.76,0.02,17:02,20,52.42,37.64,8,Piena,2,27,4.04,27,0,0
Point (12.3287779000000004 45.44709850000000273),Ponte S. Alvise,FALSE,255,Cannaregio,Cannaregio,2.8,1,3,0,ALVISE,8a60c346-86ba-eddc-0d04-ac3e46ae4782,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4470985,12.3287779,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,TRUE,0,,Trapezoidale,8,2.49,1,16,ALVISE,Rio de S. Alvise,16.86,0.36,4,2,4,2,Legno,4,FALSE,,07-Jan-99,,Medie,65.13,Legno,3.75,3.8,3.8,3.81,FALSE,2.49,2.5,2.49,13,,6.45,6.47,244,FALSE,FALSE,45.4470985,7.39,12.3287779,4,Legno,FALSE,2.49,0.36,0,3.43,CN,I primi 7 scalini della rampa nord e i primi 7 della rampa sud sono in pietra.,3,13,2,13,0,2,0,2,2,B22,B23,B24,0,2.65,2.52,Medie,,Medie,Medie,Medie,Legno,2,4.69,,0,1.37,1.37,1.37,1.37,1.37,1.01,1,1,1,1,ALVI,CN,11.69,53,Legno,1.48,,66.7,24.98,FALSE,0.37,0.37,0.37,0.37,0.06,16:40,26,63.56,38.58,4,Vuoto Geometrico,6,16,3.38,16,0,0
Point (12.33065090000000019 45.4465186999999986),Ponte Loredan,FALSE,254,Cannaregio,Cannaregio,3.36,2,4,0,LOREDA,b299a33f-533b-b65e-c8ff-fb41a703c5af,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4465187,12.3306509,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,TRUE,0,,Trapezoidale,8,2.42,0.9,9,LOREDA,Rio de la Madona de l'Orto,9.68,0.3,4,2,4,2,Legno,4,FALSE,,07-Jan-99,,Medie,37.16,Legno,2.23,3.54,3.54,3.54,FALSE,2.42,2.42,2.42,16,,4.75,4.42,243,FALSE,FALSE,45.4465187,5.66,12.3306509,4,Legno,FALSE,2.42,0.3,0,2.05,CN,I primi 2 scalini della rampa nord e i primi 4 della rampa sud sono in pietra. Il primo scalino scendendo della rampa nord presenta un tubo sporgente.,3,11,2,10,0,2,0,2,2,B19,B21s,B20,0,0,0,Medie,,Medie,Medie,Medie,Legno,2,4,,0,1.2,1.2,1.2,1.2,1.2,0.9,0.9,0.9,0.9,0.88,ORTO1,CN,9.68,48,Legno,1.61,,28.9,11.55,FALSE,0.3,0.3,0.3,0.32,0.08,16:23,21,45.42,33.87,4,Vuoto Geometrico,-8,9,2.04,9,0,0
Point (12.33251399999999975 45.44597370000000325),Ponte de la Madona de l'Orto,FALSE,253,Cannaregio,Cannaregio,3.36,2,5,0,ORTO,f6e709fb-d3d1-db62-99d6-aecfd36c98af,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4459737,12.332514,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.61,0.78,28,ORTO,Rio de la Madona de l'Orto,12,0.55,2,1,14,2,Mattoni e Pietra d'Istria,14,FALSE,,07-Jan-99,sei scudi ( tre per lato),Medie,47.88,Pietra d'Istria,3.94,3.72,3.72,3.73,FALSE,2.59,2.58,2.67,12,,6.55,4.76,242,FALSE,FALSE,45.4459737,3.04,12.332514,8,Asfalto,FALSE,2.58,0.55,0,3.38,CN,,1,13,2,9,0,2,1,2,1,B18,B17s,B16,0,1.2,1.11,Medie,Cattive,Medie,Cattive,Medie,Mattoni e Pietra d'Istria,2,3.76,,0,1.25,1.33,1.4,1.35,1.45,0.7,0.73,0.85,0.73,0.87,ORTO2,CN,9.69,44,Asfalto,1.48,,53,10.24,FALSE,0.6,0.62,0.55,0.58,0.2,15:15,22,42.77,32.52,8,Piena,16,28,3.37,28,0,0
Point (12.33431560000000005 45.44513899999999751),Ponte de la Sacca de la Misericordia,FALSE,252,Cannaregio,Cannaregio,1.75,2,6,0,SACCAM,a15bed8a-4937-2af1-9020-0819e14a72db,,"Mon, 16 Dec 2013 19:38:39 GMT",45.445139,12.3343156,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.59,0.89,36.5,SACCAM,Rio de la Madona de l'Orto,10.39,0.49,2,1,14,3,"Mattoni, Intonaco e Pietra d'Istria",15,FALSE,,07-Jan-99,tre scudi,Buone,42.99,Pietra d'Istria,3.83,3.81,3.78,3.8,FALSE,2.52,2.6,2.66,13,"�Mercy. This bridge, which offers a breathtaking view of St. dell'isole Michele and Murano, took the name from the nearby ""Sacca della Misericordia."" The 'bag' we mean a place where the water comes in and almost form a sparse. Many of these bags once we had in Venice, but most of them went slowly burying. This operation was permitted by the Senate with the Decree of 3 december 1460 and continued in later times, as we read that in 1675, 12 were buried bags. La Sacca della Misericordia, where you can see the rafts of timber, is thus described by Nicander Jasseo: ........ stagnat, Planities square undis; pars fourth lacunae Iungitur, et fringes former triple tecta difficult surgunt. Orta procul quae vides ligna, ac wicker nexa, In molem congested Gravem, ratis ipsa simulque Great onus extiterant; hic solvunt blackberries tributum Postquam praecipiti SuperAnt declivia cursu Flumina. In the tip of the 'Sacca della Misericordia ""there is a"" Casino of the Spirits "", so called on account of the arcane noises in it that is listening reputation, products, perhaps by the wind or by reason of the echo, which refers distinctly from the casino all voices uttered at the end of the ""New Fondamente"" phenomenon considered at other times by popular superstition as a prestige evil. The intention is that the casino Zanotto acquistasse that name because it was the meeting place of 'the finest spirits and talents of the sixteenth century, such as Aretino, Titian etc.. We do not know whence Zanotto has drawn the surriferita news.",6.58,5.37,241,FALSE,FALSE,45.445139,3.4,12.3343156,3,Trachite,FALSE,2.52,0.49,0,3.1,CN,,1,15,2,12,0,3,3,3,3,B14,B13s,B15,0,1.15,1.1,Buone,Buone,Buone,Buone,Medie,Mattoni e Pietra d'Istria,2,3.23,,0,1.33,1.44,1.62,1.38,1.52,0.84,0.87,0.95,0.87,0.93,ORTO3,CN,8.14,43,Trachite,0.75,,55.2,10.47,FALSE,0.57,0.51,0.67,0.59,0.18,15:31,27,30.79,20.32,3,Piena,18,37,3.08,36,0,0
Point (12.32952719999999935 45.44608170000000058),Ponte dei Trasti,FALSE,249,Cannaregio,Cannaregio,2.12,3,4,0,TRASTI,0b762d8d-9c55-265e-d90d-11c818158cd8,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4460817,12.3295272,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Ribassato,6,2.41,0.88,3,TRASTI,Rio dei Trasti,6.62,0.41,2,2,19,2,Mattoni e Pietra d'Istria,14,FALSE,,14-Jan-99,,Medie,36.26,Pietra d'Istria,2.85,3.88,3.82,3.83,FALSE,2.33,2.36,2.55,15,,5.85,5.35,238,FALSE,FALSE,45.4460817,3,12.3295272,8,Asfalto,FALSE,2.33,0.41,0,2.79,CN,,1,12,2,11,0,2,0,2,2,,,,0,0.05,0.15,Medie,,Medie,Medie,Medie,Metallo e Pietra d'Istria,2,2.76,,0,1.31,1.47,1.76,1.45,1.71,0.9,0.88,0.87,0.89,0.88,TRAS,CN,6.42,47,Asfalto,1,,43.1,6.51,FALSE,0.59,0.56,0.89,0.83,-0.02,17:09,23,29.43,22.92,8,Vuoto Geometrico,0,3,2.17,3,0,0
Point (12.32510360000000027 45.44741559999999936),Ponte Contarini o de la Sensa,FALSE,248,Cannaregio,Cannaregio,2.33,3,7,0,SENSA,f042c474-d791-bb1e-8967-1fae39e16fed,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4474156,12.3251036,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,TRUE,0,,Policentrico,3,3.23,0.96,12,SENSA,Rio de la Sensa,10.64,0.53,13,2,4,0,Legno,4,FALSE,,14-Jan-99,,,40.48,Vuoto,2.54,4.95,4.95,4.95,FALSE,3.2,3.25,3.25,15,,5.9,6.5,237,FALSE,FALSE,45.4474156,5.28,12.3251036,4,Legno,FALSE,3.2,0.53,0,2.3,CN,I primi due gradini delle rampe sono in pietra d'Istria.,1,15,2,16,0,2,0,2,2,C28,C29,,0,0,0,Medie,,Medie,Medie,Medie,Legno,2,3.33,,0,1.49,1.54,1.64,1.49,1.57,0.96,0.96,0.97,0.95,0.95,SENS1,CN,10.64,38,Legno,0.89,,41.1,12.41,FALSE,0.58,0.54,0.67,0.62,-0.21,15:31,31,39.86,27.45,4,Vuoto Geometrico,0,12,2.35,12,0,0
Point (12.32840279999999922 45.4463214000000022),Ponte de la Malvasia,FALSE,246,Cannaregio,Cannaregio,2.37,3,8,0,MALVAS,6456917d-7f5f-670c-d7fd-4cc1099ace26,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4463214,12.3284028,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,FALSE,0,,Sesto Super Ribassato,7,2.81,0.9,3,MALVAS,Rio de la Sensa,12.89,0.59,2,2,19,2,Mattoni e Pietra d'Istria,14,FALSE,,14-Jan-99,,Medie,51.42,Pietra d'Istria,2.9,4.37,4.34,4.33,FALSE,2.8,2.8,2.84,12,,7.96,7.36,235,FALSE,FALSE,45.4463214,2.97,12.3284028,8,Asfalto,FALSE,2.8,0.53,0,2.84,CN,,1,16,2,14,0,2,0,2,2,C34,D7,,0,0.9,0.8,Medie,,Medie,Medie,Medie,Metallo e Pietra d'Istria,2,4,,0,1.48,1.49,1.5,1.48,1.5,0.89,0.89,0.97,0.89,0.87,SENS2,CN,11.19,50,Pietra d'Istria e Asfalto,1.19,,56.6,10.69,FALSE,0.6,0.59,0.53,0.63,-0.05,16:55,30,46.24,35.55,32,Vuoto Geometrico,0,3,3.6,3,0,0
Point (12.32689779999999935 45.44679620000000142),Ponte Turlona,FALSE,247,Cannaregio,Cannaregio,1.92,3,8,0,TURLON,05c8d9d7-0205-69d0-0b77-f9aefc6fd0ff,,"Mon, 16 Dec 2013 19:38:39 GMT",45.4467962,12.3268978,,venice(dot)wpi(at)gmail(dot)com,DATA Ponti,TRUE,0,,Trapezoidale,8,2.69,0.9,10,TURLON,Rio de la Sensa,10.77,0.25,13,2,4,0,Legno,4,FALSE,,14-Jan-99,,,29.79,Vuoto,2.13,4.02,4.02,4.01,FALSE,2.69,2.68,2.69,17,"�to S. Jerome. We know that in the sixteenth century the cittadinesca Turloni family lived in S. Polo, and precisely in the street nowadays called ""Pezzana"" (see under this name, but he possessed a wrinkle of twenty-four houses in the parish of SS. Ermagora and Fortunato, at St. Jerome. Of these homes speak Sanudo in his Diaries, under date of October 1, 1503, in the following words: ""Dapoi Disdar fo much consejo, et veneno do fioi Mr. dil. Zuan Francesco Gonzaga, Marquis of Mantua Zermani dil, zoveni well laid out and shapely, appointed one Lodovico, the other Frederick, came forward to here. conduta they wished; alozono at cha 'Turlon to St. Hieronimo. ""Turloni The family came from the territory Bergamasco, and practiced the art of wool with which acquistossi many riches. Turloni James gave on the occasion the war of Chioggia good part of his faculties to the Republic, which made him ballottare, though without effect, pel Grand Council. Turloni Another James was elected bishop of Trogir. A Gaspare was greatly pleasing to various principles, but mainly Stefan Batory Prince of Transylvania, and then King of Poland, at whose side he fought valiantly against the Turks, a FIATA rescuing the prince himself fell from his horse, and soon to be oppressed by enemies. Filled therefore with honors and riches, he returned to Venice, where he used to walk around the city with a retinue of arrogant and good soldiers, some even committing violence. Having therefore met the enmity of many nobles, including Leonardo Moro, was imprisoned, but afterwards, escaped from prison, exiled in 1599 by the loss of all his faculties. He died in Flanders with the title of Chief Infantry, and he died the family Turloni. Paolo Antonio Labia In 1599 he bought the houses from the IRS that Gaspare owned in St. Jerome, and he restored in 1603, as deduced from a tombstone is still visible on the report. room in one of these houses were represented in 1746 works in music, becoming act on the scene wooden figures, and sing the artists behind the scenes, accompanied by a large orchestra. Groppo in his ""Catalogue of dramas for Music recited in the theaters of Venice,"" testifies that in such potea do not see what more noble and grandiose, which cost it the Labia such a large sum, and that everything surpassed the belief of those who do n ' was an eye-witness. The show, which gave him free, he was also honored by the intervention of the Duchess of Modena, which, on account of the war, then lived in this dominant.",4.75,4.35,236,FALSE,FALSE,45.4467962,5.8,12.3268978,4,Legno,FALSE,2.68,0.25,0,1.93,CN,"La rampa sud ha i primi 2 scalini in pietra, la rampa nord ha i primi 3 scalini in pietra.",3,13,2,12,0,2,0,2,2,C27,C33s,,0,2.75,2.6,Medie,,Medie,Medie,Medie,Legno,2,2.02,,0,1.15,1.15,1.15,1.15,1.15,0.9,0.9,0.9,0.9,0.9,SENS2,CN,5.42,39,Legno,0.75,,29.6,11.25,FALSE,0.25,0.25,0.25,0.25,-0.18,16:01,25,29.97,18.72,4,Vuoto Geometrico,0,10,1.94,10,0,0
